SURVEY_ID,SURVEY_NM,DOMAIN_ID,INSTITUTION_ID,COLLECTION_GRADE,REGION_STAT,LABEL
652003,원주시경제지표조사,경제일반·경기,강원특별자치도 원주시,4,True,survey
651004,춘천시일자리인식실태조사,노동,강원특별자치도 춘천시,3,True,survey
127012,ICT중소기업실태조사,정보통신,과학기술정보통신부,1,False,survey
127011,웹접근성실태조사,정보통신,과학기술정보통신부,1,False,survey
127010,클라우드산업실태조사,정보통신,과학기술정보통신부,1,False,survey
380004,산업안전보건실태조사,범죄·안전,한국산업안전보건공단,1,False,survey
114054,외식업체경영실태조사,도소매·서비스,농림축산식품부,1,False,survey
810003,합천군노인실태조사,복지,경상남도 합천군,4,True,survey
203012,대구광역시관광실태조사,문화·여가,대구광역시,3,True,survey
775003,영덕군노인실태조사,복지,경상북도 영덕군,4,True,survey
737002,곡성군귀농귀촌실태조사,농림,전라남도 곡성군,4,True,survey
615004,부천시주거실태조사,주거,경기도 부천시,4,True,survey
628003,하남시청소년사회환경조사,사회일반,경기도 하남시,4,True,survey
109006,국가보훈대상자생활실태조사,정부·재정,국가보훈부,1,False,survey
678002,진천군경제지표조사,경제일반·경기,충청북도 진천군,3,True,survey
617003,평택시경제지표조사,경제일반·경기,경기도 평택시,4,True,survey
694006,아산시인권의식실태조사,사회일반,충청남도 아산시,4,True,survey
641003,양평군전통시장조사,도소매·서비스,경기도 양평군,3,True,survey
101085,국민이전계정,국민계정,통계청,4,False,survey
633003,김포시일자리인식실태조사,노동,경기도 김포시,4,True,survey
635005,여주시일자리인식실태조사,노동,경기도 여주시,3,True,survey
611007,수원시전통시장및상점가조사,도소매·서비스,경기도 수원시,4,True,survey
447001,무역보험통계,금융,한국무역보험공사,4,False,survey
202017,부산광역시크루즈행정통계,문화·여가,부산광역시,4,True,survey
136035,전국산주현황,농림,산림청,4,False,survey
408002,오피스텔가격동향조사,주거,한국부동산원,1,False,survey
444001,교통접근성지표,교통·물류,한국교통연구원,4,False,survey
445001,혈액정보통계,보건,대한적십자사,3,False,survey
442001,기후변화대응 기술개발 활동조사,과학·기술,한국과학기술연구원,1,False,survey
216011,경상북도한옥조사,문화·여가,경상북도,4,True,survey
203011,대구광역시교통량조사,교통·물류,대구광역시,3,True,survey
145011,화장품산업현황,보건,식품의약품안전처,4,False,survey
145010,건강기능식품산업현황,보건,식품의약품안전처,4,False,survey
208007,세종특별자치시청년통계,사회일반,세종특별자치시,4,True,survey
439002,대지급금지급현황,임금,근로복지공단,4,False,survey
218011,제주특별자치도장래인구추계,인구,제주특별자치도,4,True,survey
215007,전라남도시군별장래인구추계,인구,전라남도,4,True,survey
204009,인천광역시군구별장래인구추계,인구,인천광역시,4,True,survey
767003,영천시베이비부머통계,인구,경상북도 영천시,3,True,survey
696004,논산시청년통계,사회일반,충청남도 논산시,3,True,survey
207009,울산광역시청년통계,사회일반,울산광역시,3,True,survey
443001,저작권통계,문화.여가,한국저작권위원회,4,False,survey
106032,지하수수질현황,환경,환경부,4,False,survey
423002,광고경기전망지수,도소매·서비스,한국방송광고진흥공사,1,False,survey
213011,충청남도시군장래인구추계,인구,충청남도,4,True,survey
211009,강원도시군단위장래인구추계,인구,강원특별자치도,4,True,survey
210008,경기도시군단위장래인구추계,인구,경기도,4,True,survey
207008,울산광역시구군단위장래인구추계,인구,울산광역시,4,True,survey
205010,광주광역시자치구별장래인구추계,인구,광주광역시,4,True,survey
203010,대구광역시구군별장래인구추계,인구,대구광역시,4,True,survey
113022,한국수어활용조사,문화.여가,문화체육관광부,2,False,survey
116075,주택이외의거처주거실태조사,주거,국토교통부,1,False,survey
127009,ICT전문인력수급실태조사,정보통신,과학기술정보통신부,1,False,survey
210007,경기도청년통계,사회일반,경기도,3,True,survey
637003,광주시노인등록통계,복지,경기도 광주시,4,True,survey
611006,수원시주거실태조사,주거,경기도 수원시,3,True,survey
117100,보건의료질통계,보건,보건복지부,4,False,survey
711008,전주시주거실태조사,주거,전북특별자치도 전주시,3,True,survey
522002,서초구사회조사,사회일반,서울특별시 서초구,3,True,survey
115035,경제자유구역입주사업체실태조사,기업경영,산업통상자원부,1,False,survey
694004,아산시전통시장및상점가조사,도소매·서비스,충청남도 아산시,3,True,survey
218010,제주특별자치도주거실태조사,주거,제주특별자치도,3,True,survey
203009,대구광역시노인실태조사,복지,대구광역시,3,True,survey
