DOCUMENT_ID,SURVEY_ID,TYPE,LABEL
DOC_127006_1,127006,이용자용통계정보보고서,document
DOC_127006_2,127006,간행물,document
DOC_127006_3,127006,보도자료,document
DOC_127007_1,127007,이용자용통계정보보고서,document
DOC_127007_2,127007,간행물,document
DOC_127008_1,127008,이용자용통계정보보고서,document
DOC_127009_1,127009,이용자용통계정보보고서,document
DOC_127009_2,127009,간행물,document
DOC_127010_1,127010,이용자용통계정보보고서,document
DOC_127010_2,127010,간행물,document
DOC_127011_1,127011,이용자용통계정보보고서,document
DOC_127011_2,127011,간행물,document
DOC_127011_3,127011,보도자료,document
DOC_127012_1,127012,이용자용통계정보보고서,document
DOC_127012_2,127012,간행물,document
DOC_127013_1,127013,이용자용통계정보보고서,document
DOC_127013_3,127013,보도자료,document
DOC_127014_1,127014,이용자용통계정보보고서,document
DOC_127015_1,127015,이용자용통계정보보고서,document
DOC_127016_1,127016,이용자용통계정보보고서,document
DOC_127016_2,127016,간행물,document
DOC_127017_2,127017,간행물,document
DOC_127018_2,127018,간행물,document
DOC_127018_3,127018,보도자료,document
DOC_127019_2,127019,간행물,document
DOC_127020_3,127020,보도자료,document
DOC_127020_4,127020,통계설명메타,document
DOC_127021_2,127021,간행물,document
DOC_127021_3,127021,보도자료,document
DOC_129001_1,129001,이용자용통계정보보고서,document
DOC_129001_2,129001,간행물,document
DOC_131003_1,131003,이용자용통계정보보고서,document
DOC_131003_3,131003,보도자료,document
DOC_132001_1,132001,이용자용통계정보보고서,document
DOC_132002_1,132002,이용자용통계정보보고서,document
DOC_132004_1,132004,이용자용통계정보보고서,document
DOC_133001_1,133001,이용자용통계정보보고서,document
DOC_133001_3,133001,보도자료,document
DOC_134001_1,134001,이용자용통계정보보고서,document
DOC_134002_1,134002,이용자용통계정보보고서,document
DOC_134004_1,134004,이용자용통계정보보고서,document
